2023-02-25-15:12:22 [ views.py ] 45行 | [ INFO ] | [ sqllist:['and delete_status = "1" '] ]
2023-02-25-15:13:15 [ views.py ] 45行 | [ INFO ] | [ sqllist:['and delete_status = "1" '] ]
2023-02-25-15:13:15 [ views.py ] 50行 | [ INFO ] | [ sqlText:{'sql': 'select * from user_info where  delete_status = "1" order by id desc limit 0 ,11;', 'count_sql': 'select count(1) from (select a.id from user_info a where delete_status = "1" )b;'} ]
2023-02-25-15:17:26 [ views.py ] 83行 | [ INFO ] | [ sql:INSERT INTO user_info VALUES (null,'https://gimg2.baidu.com/image_search/src=http%3A%2F%2Fc-ssl.duitang.com%2Fuploads%2Fblog%2F202104%2F22%2F20210422220415_2e4bd.jpg','刘中鑫3','15861245159','重庆市沙坪坝区虎溪街道762号附103号','1677309446','1708845446',1,1); ]
2023-02-25-15:48:11 [ views.py ] 171行 | [ INFO ] | [ sql:select * from books_info where  delete_status = "1" order by id desc limit 0 ,10; ]
2023-02-25-15:48:11 [ views.py ] 172行 | [ INFO ] | [ countsql:select count(1) from (select a.id from books_info a where delete_status = "1" )b; ]
2023-02-25-21:45:08 [ views.py ] 45行 | [ INFO ] | [ sqllist:['and delete_status = "1" '] ]
2023-02-25-21:45:08 [ views.py ] 50行 | [ INFO ] | [ sqlText:{'sql': 'select * from user_info where  delete_status = "1" order by id desc limit 0 ,11;', 'count_sql': 'select count(1) from (select a.id from user_info a where delete_status = "1" )b;'} ]
2023-02-25-21:45:13 [ views.py ] 171行 | [ INFO ] | [ sql:select * from books_info where  delete_status = "1" order by id desc limit 0 ,10; ]
2023-02-25-21:45:13 [ views.py ] 172行 | [ INFO ] | [ countsql:select count(1) from (select a.id from books_info a where delete_status = "1" )b; ]
2023-02-25-21:47:34 [ views.py ] 292行 | [ INFO ] | [ sql:select * from books_info where  delete_status = "1" order by id desc limit 0 ,11; ]
2023-02-25-21:47:34 [ views.py ] 293行 | [ INFO ] | [ countsql:select count(1) from (select a.id from books_info a where delete_status = "1" )b; ]
2023-02-25-21:48:21 [ views.py ] 292行 | [ INFO ] | [ sql:select * from books_info where  delete_status = "1" order by id desc limit 0 ,11; ]
2023-02-25-21:48:21 [ views.py ] 293行 | [ INFO ] | [ countsql:select count(1) from (select a.id from books_info a where delete_status = "1" )b; ]
2023-02-25-21:48:43 [ views.py ] 292行 | [ INFO ] | [ sql:select * from admin_info where  delete_status = "1" order by id desc limit 0 ,11; ]
2023-02-25-21:48:43 [ views.py ] 293行 | [ INFO ] | [ countsql:select count(1) from (select a.id from admin_info a where delete_status = "1" )b; ]
2023-02-25-21:52:05 [ views.py ] 292行 | [ INFO ] | [ sql:select * from admin_info where  delete_status = "1" order by id desc limit 0 ,11; ]
2023-02-25-21:52:05 [ views.py ] 293行 | [ INFO ] | [ countsql:select count(1) from (select a.id from admin_info a where delete_status = "1" )b; ]
2023-02-25-21:52:36 [ views.py ] 292行 | [ INFO ] | [ sql:select * from admin_info where  delete_status = "1" order by id desc limit 0 ,11; ]
2023-02-25-21:52:36 [ views.py ] 293行 | [ INFO ] | [ countsql:select count(1) from (select a.id from admin_info a where delete_status = "1" )b; ]
2023-02-25-21:53:14 [ views.py ] 292行 | [ INFO ] | [ sql:select * from admin_info where  delete_status = "1" order by id desc limit 0 ,11; ]
2023-02-25-21:53:14 [ views.py ] 293行 | [ INFO ] | [ countsql:select count(1) from (select a.id from admin_info a where delete_status = "1" )b; ]
2023-02-25-21:54:46 [ views.py ] 320行 | [ INFO ] | [ insertsql:INSERT INTO admin_info VALUES (null,'小虎','xiaohu1234',1,1); ]
2023-02-25-21:55:27 [ views.py ] 320行 | [ INFO ] | [ insertsql:INSERT INTO admin_info VALUES (null,'小虎','xiaohu1234',1,1); ]
2023-02-25-21:55:40 [ views.py ] 320行 | [ INFO ] | [ insertsql:INSERT INTO admin_info VALUES (null,'小吴','xiaowu1234',1,1); ]
2023-02-25-21:55:44 [ views.py ] 292行 | [ INFO ] | [ sql:select * from admin_info where  delete_status = "1" order by id desc limit 0 ,11; ]
2023-02-25-21:55:44 [ views.py ] 293行 | [ INFO ] | [ countsql:select count(1) from (select a.id from admin_info a where delete_status = "1" )b; ]
2023-02-25-21:58:42 [ views.py ] 336行 | [ INFO ] | [ updatesql:update books_info set  admin_name = '小虎2',admin_status='2' where id = 202301002 ; ]
2023-02-25-21:59:05 [ views.py ] 336行 | [ INFO ] | [ updatesql:update admin_info set  admin_name = '小虎2',admin_status='2' where id = 202301002 ; ]
2023-02-25-21:59:10 [ views.py ] 292行 | [ INFO ] | [ sql:select * from admin_info where  delete_status = "1" order by id desc limit 0 ,11; ]
2023-02-25-21:59:10 [ views.py ] 293行 | [ INFO ] | [ countsql:select count(1) from (select a.id from admin_info a where delete_status = "1" )b; ]
2023-02-25-21:59:17 [ views.py ] 336行 | [ INFO ] | [ updatesql:update admin_info set  admin_name = '小虎2',admin_status='1' where id = 202301002 ; ]
